Month,Sendai_DaysSnowfall_day,Sendai_AmountSnowfall_cm,Sendai_MinimumTemperature_C,Sendai_MaximumTemperature_C,Sapporo_DaysSnowfall_day,Sapporo_AmountSnowfall_cm,Sapporo_MinimumTemperature_C,Sapporo_MaximumTemperature_C
Jan-88,13,32,-4.8,13.2,31,108,-11,7.1
Feb-88,9,8,-7.1,10.7,29,185,-13.6,3.6
Mar-88,5,2,-3.7,18.3,31,41,-11.6,9.9
Apr-88,2,6,-0.8,24.5,2,1,-2.4,23.5
May-88,0,0,5.2,27.9,0,0,3,23.7
Jun-88,0,0,12.7,27.7,0,0,9.8,28.4
Jul-88,0,0,14.1,29.9,0,0,11.4,28.8
Aug-88,0,0,17.7,31.6,0,0,14.4,32.6
Sep-88,0,0,15.1,27.8,0,0,8.1,25.7
Oct-88,0,0,5,22.9,0,0,1.8,21.3
Nov-88,0,0,0.1,16.6,11,14,-5.2,14.4
Dec-88,2,5,-2.2,15.4,27,179,-8.4,11.4
Jan-89,9,12,-4.5,11.8,31,54,-10.4,6.5
Feb-89,9,20,-2.9,12.6,28,44,-10.1,6.5
Mar-89,1,0,-2.4,17.5,18,20,-4.7,12.7
Apr-89,0,0,1.8,24.4,0,0,-0.3,19.6
May-89,0,0,6.7,28.6,0,0,3.9,24
Jun-89,0,0,9.2,27.5,0,0,5.5,27.2
Jul-89,0,0,11.9,30.4,0,0,10.3,32.8
Aug-89,0,0,18.5,31.2,0,0,15.7,33.2
Sep-89,0,0,12,32.2,0,0,9.4,28.7
Oct-89,0,0,5.9,23.1,0,0,2.7,21.1
Nov-89,0,0,2,20.2,1,4,-1.6,17.3
Dec-89,5,5,-1.5,18.3,27,123,-9.7,14.8
Jan-90,10,8,-6.7,13.1,31,196,-15.6,6.9
Feb-90,4,5,-6.3,13.7,28,74,-9.8,8.3
Mar-90,1,6,-1.3,16.7,20,14,-3.7,12.6
Apr-90,0,0,1.8,21.5,2,2,-0.1,22.1
May-90,0,0,7.5,27.6,0,0,3.2,28.7
Jun-90,0,0,13.4,30.6,0,0,8.4,27.9
Jul-90,0,0,14.4,33.4,0,0,12.9,31.4
Aug-90,0,0,18.7,35.6,0,0,16.6,32.3
Sep-90,0,0,15,32.5,0,0,10.5,32.7
Oct-90,0,0,6.8,26.7,0,0,4,22.3
Nov-90,0,0,1.3,22.4,3,15,-2.7,19
Dec-90,1,0,-0.4,21.8,24,146,-7.3,13.3
Jan-91,12,9,-3.3,11.2,31,250,-7.2,4.4
Feb-91,15,36,-6.1,14.4,28,152,-16,5.8
Mar-91,6,17,-2.7,20.2,31,74,-7.4,11
Apr-91,0,0,-1.2,24.2,6,0,-2.2,21.7
May-91,0,0,4.7,27.2,0,0,1.8,28.1
Jun-91,0,0,13.6,32.6,0,0,11.6,30.3
Jul-91,0,0,16,33.3,0,0,14.6,30.9
Aug-91,0,0,14.6,33.4,0,0,13,30.1
Sep-91,0,0,12.9,30.7,0,0,8.9,28.7
Oct-91,0,0,7.1,26.4,0,0,2.4,23.2
Nov-91,0,0,0.7,17.5,7,4,-4.7,15.6
Dec-91,4,13,-2.5,16.1,27,135,-9.3,12.2
Jan-92,11,14,-3.5,10.6,31,109,-11.3,5.5
Feb-92,6,21,-4.5,11.6,29,74,-12.3,7.4
Mar-92,12,57,-2.9,14.8,28,60,-8,14.3
Apr-92,0,0,2.4,27.3,0,0,-1.2,18.1
May-92,0,0,1.8,23.8,0,0,3.6,24.4
Jun-92,0,0,11,26,0,0,9.2,28.3
Jul-92,0,0,15.5,36.2,0,0,14.9,30.6
Aug-92,0,0,17.3,31.7,0,0,13.8,29.7
Sep-92,0,0,10.2,31.4,0,0,5.4,26.5
Oct-92,0,0,6.5,23.6,0,0,4.1,23.7
Nov-92,0,0,-0.2,18.7,10,43,-5.9,15.1
Dec-92,6,9,-1.8,16.7,25,90,-7.6,12.8
Jan-93,10,16,-2.2,14.1,31,117,-11.6,5.2
Feb-93,8,8,-3,19.6,28,174,-9.4,5.2
Mar-93,5,9,-4,15.5,31,41,-6.8,11
Apr-93,0,0,1.2,22.2,12,5,-0.9,19.7
May-93,0,0,3.5,26,0,0,3.2,22.4
Jun-93,0,0,11.9,29.2,0,0,9.9,24.6
Jul-93,0,0,12.6,29.1,0,0,11,27.7
Aug-93,0,0,15.4,30.2,0,0,12.9,30.1
Sep-93,0,0,11.9,28.4,0,0,10,25.6
Oct-93,0,0,2.9,26.1,0,0,1.9,21.4
Nov-93,0,0,1.3,22.5,6,9,-2.8,17.3
Dec-93,3,11,-3.3,17.7,30,62,-9.4,8.3
Jan-94,9,14,-6.4,12.9,31,128,-14,2.6
Feb-94,10,19,-4.2,12.6,28,226,-9.3,7.4
Mar-94,3,0,-2.8,15.6,31,146,-9,10.8
Apr-94,1,0,-0.3,24.2,13,0,-1.2,20.2
May-94,0,0,6.7,26.2,0,0,4.1,29.2
Jun-94,0,0,11.8,29.8,0,0,9.6,28.1
Jul-94,0,0,16.6,33.3,0,0,13.6,32.2
Aug-94,0,0,18.8,35.9,0,0,17.6,36.2
Sep-94,0,0,14.4,30.7,0,0,11.8,30.1
Oct-94,0,0,4.5,26.8,0,0,1.6,22.5
